state_name,district_name,district_key,shannon_index_early,simpson_index_early,crop_richness_early,total_cropped_area_early,dominant_crop_early,dominant_crop_share_early,top3_crops_share_early,shannon_index_late,simpson_index_late,crop_richness_late,total_cropped_area_late,dominant_crop_late,dominant_crop_share_late,top3_crops_share_late,shannon_change,simpson_change,richness_change
Rajasthan,Dholpur,RAJASTHAN|DHOLPUR,1.4685,0.7116,33,1690720.0,Rapeseed &Mustard,0.3541,0.9161,1.3639,0.701,31,1153602.0,Bajra,0.3788,0.9335,-0.10460000000000003,-0.010600000000000054,-2
Rajasthan,Dungarpur,RAJASTHAN|DUNGARPUR,1.7548,0.7409,35,1387340.0,Maize,0.4427,0.7517,1.8233,0.7893,31,971159.0,Maize,0.3228,0.74,0.0685,0.0484,-4
Rajasthan,Ganganagar,RAJASTHAN|GANGANAGAR,1.7037,0.7822,35,7935043.0,Rapeseed &Mustard,0.2829,0.7725,1.8805,0.8069,32,6182539.0,Guar Seed,0.3048,0.7061,0.17680000000000007,0.024699999999999944,-3
Rajasthan,Hanumangarh,RAJASTHAN|HANUMANGARH,2.0253,0.8483,33,8889159.0,Wheat,0.1935,0.5523,1.9857,0.8138,31,6539285.0,Guar Seed,0.3308,0.6566,-0.03960000000000008,-0.034500000000000086,-2
Rajasthan,Jaipur,RAJASTHAN|JAIPUR,2.1342,0.8403,36,7797892.0,Bajra,0.2876,0.6166,2.1153,0.8328,32,4660403.0,Bajra,0.3225,0.6013,-0.018899999999999917,-0.007500000000000062,-4
Rajasthan,Jaisalmer,RAJASTHAN|JAISALMER,1.3059,0.6404,28,3333261.0,Guar Seed,0.508,0.9159,1.472,0.6413,23,4919597.0,Guar Seed,0.5619,0.8309,0.16609999999999991,0.0009000000000000119,-5
Rajasthan,Jalore,RAJASTHAN|JALORE,1.6473,0.6853,32,5657185.0,Bajra,0.5269,0.7434,1.8599,0.7669,31,3731275.0,Bajra,0.4222,0.6882,0.21260000000000012,0.0816,-1
Rajasthan,Jhalawar,RAJASTHAN|JHALAWAR,1.8982,0.7752,35,3896373.0,Soyabean,0.416,0.6525,1.9345,0.7944,33,3097196.0,Soyabean,0.3757,0.6659,0.0363,0.019199999999999995,-2
Rajasthan,Jhunjhunu,RAJASTHAN|JHUNJHUNU,1.7358,0.7576,31,5464241.0,Bajra,0.4219,0.7208,1.9578,0.8108,29,3059904.0,Bajra,0.3528,0.6058,0.22199999999999998,0.053199999999999914,-2
Rajasthan,Jodhpur,RAJASTHAN|JODHPUR,1.7419,0.708,32,9394759.0,Bajra,0.5023,0.7452,2.2202,0.856,29,7666810.0,Bajra,0.2614,0.5723,0.47830000000000017,0.14800000000000002,-3
