measure,b2,b2_inter,p_inter,curv_lo,curv_hi,tp_lo,tp_hi,n
mandi village share,-6.359289005281177,2.6186578615372063,0.0330012271622728,-8.977946866818383,-3.7406311437439705,0.3609247618611525,0.14914494110998558,606
fertiliser shop village share,-6.6666425056497,1.530991551316021,0.14296921177283822,-8.197634056965722,-5.135650954333679,0.325578725657478,0.2859734987651753,606
output-market index,-6.463217879767324,1.9964279654179187,0.102275154583441,-8.459645845185243,-4.466789914349405,0.328400743138468,0.270263549369166,606
input-supply index,-6.529886023139179,2.229532313309471,0.05564616968162589,-8.75941833644865,-4.300353709829707,0.3453881799287672,0.23559994756184138,606
post-harvest index,-6.52942795594589,2.0967366102140246,0.08669557750443248,-8.626164566159915,-4.432691345731865,0.33048692572996474,0.25002712114359277,606
