pc11_state_id,pc11_district_id,n_villages,shg_per_1000hh,bpl_share,villages_per_100k_pop,viirs_mean,log_viirs,ec13_count_all,ec13_emp_all,estab_per_1000pop,nonfarm_emp_per_1000pop,idx_output_market,idx_input_supply,idx_postharvest,idx_connectivity,m_mandi_vshare,m_mandi_n,m_regular_market_vshare,m_regular_market_n,m_weekly_haat_vshare,m_weekly_haat_n,m_fpo_vshare,m_fpo_n,m_fert_shop_vshare,m_fert_shop_n,m_seed_centre_vshare,m_seed_centre_n,m_soil_test_vshare,m_soil_test_n,m_custom_hire_vshare,m_custom_hire_n,m_storage_vshare,m_storage_n,m_farmgate_proc_vshare,m_farmgate_proc_n,m_pasture_vshare,m_pasture_n,m_livestock_ext_vshare,m_livestock_ext_n,m_pds_vshare,m_pds_n,m_pucca_road_vshare,m_pucca_road_n,m_public_transport_vshare,m_public_transport_n,m_bank_vshare,m_bank_n,m_atm_vshare,m_atm_n,m_railway_vshare,m_railway_n,m_no_electricity_vshare,m_no_electricity_n,m_vet_vshare,m_vet_n,m_milk_route_vshare,m_milk_route_n,m_csc_vshare,m_csc_n
01,001,90,9.079873755765963,0.6188395241563486,71.87178074315422,0.2669139801429311,0.236584006487183,22204.0,43585.0,177.31566884677736,348.05906263226404,-0.283770665460968,-0.29967382952204347,-0.38920622718039377,-0.2236282695946324,0.011111111111111112,1.0,0.2,18.0,0.0,0.0,0.05555555555555555,5.0,0.17777777777777778,16.0,0.05555555555555555,5.0,0.022222222222222223,2.0,0.022222222222222223,2.0,0.06666666666666667,6.0,0.03333333333333333,3.0,0.4222222222222222,38.0,0.1,9.0,0.5888888888888889,53.0,0.5555555555555556,50.0,0.7666666666666667,69.0,0.06666666666666667,6.0,0.03333333333333333,3.0,0.0,0.0,0.0,0.0,0.1111111111111111,10.0,0.044444444444444446,4.0,0.16666666666666666,15.0
01,002,311,10.972147625258957,0.44230798741655797,78.31169060083448,1.5109298173856107,0.92065312971937,44944.0,91532.0,113.17172419176543,230.4831403239737,0.6346783895391964,0.9864216752454155,-0.1195736279257301,0.5207701270879389,0.006430868167202572,2.0,0.6012861736334405,187.0,0.01607717041800643,5.0,0.05787781350482315,18.0,0.4855305466237942,151.0,0.20257234726688103,63.0,0.16720257234726688,52.0,0.05144694533762058,16.0,0.09967845659163987,31.0,0.05144694533762058,16.0,0.39228295819935693,122.0,0.16720257234726688,52.0,0.7491961414790996,233.0,0.6141479099678456,191.0,0.8745980707395499,272.0,0.09967845659163987,31.0,0.09967845659163987,31.0,0.05144694533762058,16.0,0.0,0.0,0.3279742765273312,102.0,0.10610932475884244,33.0,0.2508038585209003,78.0
01,003,99,21.009398941631783,0.3938077561014138,139.5761959142241,0.019700505776203,0.019508962392826297,7719.0,18508.0,108.82713699615108,260.93699333135953,-0.4963500723752756,-0.603032218344556,-0.06350987655421411,-0.15004723574807227,0.005708358568455054,0.5651274982770503,0.12121212121212122,12.0,0.0,0.0,0.050505050505050504,5.0,0.010101010101010102,1.0,0.050505050505050504,5.0,0.0,0.0,0.030303030303030304,3.0,0.12121212121212122,12.0,0.030303030303030304,3.0,0.5353535353535354,53.0,0.25252525252525254,25.0,0.8528775000174035,84.43487250172295,0.42424242424242425,42.0,0.5656565656565656,56.0,0.3939393939393939,39.0,0.12121212121212122,12.0,0.0,0.0,0.09090909090909091,9.0,0.30303030303030304,30.0,0.0,0.0,0.030303030303030304,3.0
01,004,74,23.424270931326436,0.6211665098777046,97.39661480955013,0.0391827958820134,0.03843463108133837,4569.0,11003.0,60.13582879254521,144.81823685803786,-0.6171841432008484,-0.3789033426340172,0.3933334017541555,-0.7991733337564266,0.0,0.0,0.06756756756756757,5.0,0.013513513513513514,1.0,0.02702702702702703,2.0,0.04054054054054054,3.0,0.10810810810810811,8.0,0.02702702702702703,2.0,0.013513513513513514,1.0,0.1891891891891892,14.0,0.04054054054054054,3.0,0.6351351351351351,47.0,0.1891891891891892,14.0,0.7702702702702703,57.0,0.22972972972972974,17.0,0.6486486486486487,48.0,0.08108108108108109,6.0,0.06756756756756757,5.0,0.0,0.0,0.14864864864864866,11.0,0.21621621621621623,16.0,0.0,0.0,0.05405405405405406,4.0
01,005,91,15.064467448571655,0.48576950570543537,48.742079412095535,0.8080052795673811,0.5922241820804232,12607.0,24703.0,67.52652693937235,132.31599865021934,0.1455018417920201,-0.3438173832601963,-0.24732724950362145,-0.6589250381208509,0.054945054945054944,5.0,0.1978021978021978,18.0,0.054945054945054944,5.0,0.07692307692307693,7.0,0.12087912087912088,11.0,0.08791208791208792,8.0,0.01098901098901099,1.0,0.02197802197802198,2.0,0.07692307692307693,7.0,0.054945054945054944,5.0,0.38461538461538464,35.0,0.12087912087912088,11.0,0.5164835164835165,47.0,0.31868131868131866,29.0,0.6813186813186813,62.0,0.06593406593406594,6.0,0.08791208791208792,8.0,0.0,0.0,0.02197802197802198,2.0,0.12087912087912088,11.0,0.01098901098901099,1.0,0.14285714285714285,13.0
01,006,212,7.6468171017133875,0.4987225527505315,76.39419404125286,0.7530115174344036,0.5613351760455254,15264.0,33107.0,55.003819709702064,119.30106519451691,-0.3484652145859028,0.10555105835683308,-0.19525224204849811,-0.31577443935030525,0.02358490566037736,5.0,0.08962264150943396,19.0,0.03773584905660377,8.0,0.05660377358490566,12.0,0.25,53.0,0.14150943396226415,30.0,0.03773584905660377,8.0,0.05188679245283019,11.0,0.05660377358490566,12.0,0.10377358490566038,22.0,0.25,53.0,0.08018867924528301,17.0,0.6745283018867925,143.0,0.37264150943396224,79.0,0.7264150943396226,154.0,0.1179245283018868,25.0,0.07547169811320754,16.0,0.014150943396226415,3.0,0.0047169811320754715,1.0,0.18867924528301888,40.0,0.1509433962264151,32.0,0.1320754716981132,28.0
01,007,310,10.144338586113996,0.435168043828359,87.4878293140672,1.0117639834226742,0.6990119408948947,20407.0,54178.0,57.59239138103772,152.90050376056556,-0.4616114401775246,-0.07727815060177111,-0.7484539025974007,0.20340344554046597,0.0,0.0,0.14516129032258066,45.0,0.0064516129032258064,2.0,0.025806451612903226,8.0,0.18387096774193548,57.0,0.12258064516129032,38.0,0.012903225806451613,4.0,0.06774193548387097,21.0,0.012903225806451613,4.0,0.025806451612903226,8.0,0.34838709677419355,108.0,0.17096774193548386,53.0,0.5387096774193548,167.0,0.6774193548387096,210.0,0.7032258064516129,218.0,0.0935483870967742,29.0,0.03870967741935484,12.0,0.03225806451612903,10.0,0.025806451612903226,8.0,0.13870967741935483,43.0,0.03225806451612903,10.0,0.11290322580645161,35.0
01,008,269,16.308988444242043,0.5132065805202938,58.584859842800924,0.5921995187130762,0.4651164053943628,44288.0,85022.0,96.45376478505455,185.1673588682015,-0.18240520959998074,-0.04414102341705168,-0.2561640862293809,0.2101775900612643,0.011152416356877323,3.0,0.22676579925650558,61.0,0.01486988847583643,4.0,0.05204460966542751,14.0,0.2862453531598513,77.0,0.07063197026022305,19.0,0.01486988847583643,4.0,0.06691449814126393,18.0,0.07063197026022305,19.0,0.06319702602230483,17.0,0.46096654275092935,124.0,0.1449814126394052,39.0,0.7137546468401487,192.0,0.620817843866171,167.0,0.8698884758364313,234.0,0.11524163568773234,31.0,0.07806691449814127,21.0,0.01486988847583643,4.0,0.0037174721189591076,1.0,0.20446096654275092,55.0,0.01858736059479554,5.0,0.12267657992565056,33.0
01,009,29,12.926697112779626,0.3839306447867482,35.2412200753433,0.2374643146651511,0.21306437841070325,10754.0,21128.0,130.6841657552558,256.7505164661563,1.6340354471630967,0.026335463977246898,-0.709056815997488,0.19758221611555726,0.0,0.0,0.034482758620689655,1.0,0.8620689655172413,25.0,0.9655172413793104,28.0,0.13793103448275862,4.0,0.06896551724137931,2.0,0.10344827586206896,3.0,0.06896551724137931,2.0,0.034482758620689655,1.0,0.0,0.0,0.034482758620689655,1.0,0.13793103448275862,4.0,0.0,0.0,0.8275862068965517,24.0,0.7586206896551724,22.0,0.10344827586206896,3.0,0.10344827586206896,3.0,0.0,0.0,0.0,0.0,0.4482758620689655,13.0,0.034482758620689655,1.0,0.0,0.0
01,010,2,38.03680981595092,0.1901840490797546,35.69516330537212,7.419971946217045,2.1306064964454836,66625.0,156205.0,11890.951276102089,27878.81492057826,-0.8065488781983504,3.748729705233824,-0.9219210221268554,0.03588476121513601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
