outcome,var,b,p,n,q
D1_exp_shannon,m_mandi_vshare,0.11332319255469628,0.9570237354950167,606,
D1_exp_shannon,m_weekly_haat_vshare,0.39793205409583576,0.6331536572361925,606,
D1_exp_shannon,m_regular_market_vshare,-0.5981209822475315,0.4683421855841877,606,
D0_richness,m_mandi_vshare,2.8203945823937726,0.38863531430825393,606,
D0_richness,m_weekly_haat_vshare,7.269114674904473,3.971452316446123e-06,606,
D0_richness,m_regular_market_vshare,-1.1228811401822236,0.5775594814936542,606,
D2_inv_simpson,m_mandi_vshare,0.17448484562581296,0.9213291124176842,606,
D2_inv_simpson,m_weekly_haat_vshare,0.18455910544526477,0.7657289378536971,606,
D2_inv_simpson,m_regular_market_vshare,-0.5116685593317567,0.4059986436132039,606,
evenness_D1_D0,m_mandi_vshare,-0.03675898622464352,0.7728502494631531,606,
evenness_D1_D0,m_weekly_haat_vshare,-0.07095772575968018,0.05488829356641189,606,
evenness_D1_D0,m_regular_market_vshare,-0.016227230081639333,0.7533886336242356,606,
share_cereals,m_mandi_vshare,-0.24048273912203577,0.07286032106850236,606,0.46964711797405256
share_cereals,m_weekly_haat_vshare,-0.05795457668038687,0.39672981981158073,606,0.5667568854451154
share_cereals,m_regular_market_vshare,0.014579379340454075,0.8808114775901844,606,0.9448377268655315
share_drugs_and_narcotics,m_mandi_vshare,0.006105674177958247,0.4251034994583436,606,0.7184183139806065
share_drugs_and_narcotics,m_weekly_haat_vshare,-0.005147443658581476,0.2487280686094414,606,0.5667568854451154
share_drugs_and_narcotics,m_regular_market_vshare,0.02805793111819939,0.1381850162022086,606,0.37295509858988507
share_fiber_crops,m_mandi_vshare,0.1853862064120529,0.09398861810552359,606,0.46964711797405256
share_fiber_crops,m_weekly_haat_vshare,0.04977695161877975,0.13564072845280825,606,0.45213576150936086
share_fiber_crops,m_regular_market_vshare,-0.003694594378624729,0.9448377268655315,606,0.9448377268655315
share_fodder,m_mandi_vshare,-0.005189657232545853,0.779383660666375,606,0.8659818451848611
share_fodder,m_weekly_haat_vshare,-0.0020314544959306896,0.7949902457677168,606,0.7949902457677168
share_fodder,m_regular_market_vshare,0.005458784937286164,0.6443108169270111,606,0.9448377268655315
share_fruits,m_mandi_vshare,0.028641280514282896,0.43105098838836386,606,0.7184183139806065
share_fruits,m_weekly_haat_vshare,0.011656644836172025,0.2921505415319733,606,0.5667568854451154
share_fruits,m_regular_market_vshare,0.013541920250835539,0.337643048526444,606,0.675286097052888
share_oilseeds,m_mandi_vshare,-0.058304738030026435,0.7639237799681449,606,0.8659818451848611
share_oilseeds,m_weekly_haat_vshare,0.017209144445783656,0.6864062531247092,606,0.7626736145830102
share_oilseeds,m_regular_market_vshare,0.12005535978336637,0.14918203943595404,606,0.37295509858988507
share_pulses,m_mandi_vshare,-0.09974596697244789,0.14089413539221576,606,0.46964711797405256
share_pulses,m_weekly_haat_vshare,-0.0916560626769379,0.04135363768002324,606,0.20676818840011618
share_pulses,m_regular_market_vshare,-0.12169531716625114,0.0005910689239993107,606,0.005910689239993106
share_spices,m_mandi_vshare,0.1782176501534265,0.22511083212344019,606,0.5627770803086004
share_spices,m_weekly_haat_vshare,-0.023729412731618004,0.39508199484245,606,0.5667568854451154
share_spices,m_regular_market_vshare,0.010052359829098113,0.7737336201218676,606,0.9448377268655315
share_sugar,m_mandi_vshare,-0.014637436041529747,0.8753918497083756,606,0.8753918497083756
share_sugar,m_weekly_haat_vshare,0.1112517227126821,0.0010183633084912863,606,0.010183633084912862
share_sugar,m_regular_market_vshare,-0.07346275019143612,0.016893339296737805,606,0.08446669648368901
share_vegetable,m_mandi_vshare,0.020009726140864558,0.6608969210834734,606,0.8659818451848611
share_vegetable,m_weekly_haat_vshare,-0.009375513369962127,0.5933011942881874,606,0.7416264928602342
share_vegetable,m_regular_market_vshare,0.0071069264770725,0.6924484789146376,606,0.9448377268655315
