measure,Rainfed,Rainfed_n,Semi-irrigated,Semi-irrigated_n,Irrigated,Irrigated_n,inverted_U
scraped irrigation_pct (original),0.6394488479262673,217,0.684260576923077,104,0.6670048192771084,166,True
SHRUG Antyodaya 2019,0.6107250000000001,188,0.6517394957983192,238,0.6555763837638376,271,False
"SHRUG Antyodaya, parent-weighted",0.6147270337301587,188,0.6705623384353742,238,0.6628485437660542,271,True
"SHRUG Antyodaya, drop shared parents",0.6217184210526315,152,0.6899863905325444,169,0.6689126696832578,221,True
PC11 Village Directory 2011,0.6321202614379084,306,0.6923590163934426,122,0.6373263157894737,228,True
