outcome,n,b_canal,p_canal,b_surface,p_surface,r2
D1_exp_shannon,606,-0.3100256890088651,0.42119239567367606,-2.0296574917682597,0.026153058037973385,0.5368177281434736
D0_richness,606,-2.5932114413851926,0.0025652514744637692,-0.46655663473831144,0.7313419186229084,0.8326822985518726
D2_inv_simpson,606,-0.15503824611271894,0.5858418154329755,-1.6602597300099693,0.018988731758252563,0.5065074735318476
evenness_D1_D0,606,0.03373515142908702,0.07329134854704375,-0.08653732798761118,0.10647733386137125,0.5633335266925511
share_cereals,606,0.022124896557571945,0.5965455149367241,0.2995891374052976,0.00013337129161409167,0.671450965217069
share_pulses,606,0.07290421386015217,0.00047372060369275026,-0.10429208749708328,0.0018175215843762606,0.44461365367194305
share_oilseeds,606,-0.09697584637024365,0.0021406535415183364,-0.1635110338371829,0.007737871526860989,0.5593453673529638
