outcome,var,b,p,n,q
D1_exp_shannon,m_fert_shop_vshare,0.4487058092183531,0.6571915601879115,606,
D1_exp_shannon,m_seed_centre_vshare,-1.2144993681321083,0.4328144465643661,606,
D1_exp_shannon,m_soil_test_vshare,1.0440790656261143,0.5289352646878669,606,
D1_exp_shannon,m_custom_hire_vshare,0.033392179503193065,0.9794425650785946,606,
D0_richness,m_fert_shop_vshare,-0.5350301761150824,0.8012529795819902,606,
D0_richness,m_seed_centre_vshare,5.450249929617951,0.04535675414978894,606,
D0_richness,m_soil_test_vshare,-1.359297695822998,0.5865078804900417,606,
D0_richness,m_custom_hire_vshare,0.339157233617545,0.8966914182392302,606,
D2_inv_simpson,m_fert_shop_vshare,0.42496377971066956,0.562116615742609,606,
D2_inv_simpson,m_seed_centre_vshare,-1.0616134357102143,0.38096153911233754,606,
D2_inv_simpson,m_soil_test_vshare,0.842652185741326,0.5092933701335043,606,
D2_inv_simpson,m_custom_hire_vshare,-0.04843774677256252,0.9632569093724176,606,
evenness_D1_D0,m_fert_shop_vshare,0.0008536934336965396,0.9869578296501572,606,
evenness_D1_D0,m_seed_centre_vshare,-0.09815066981523107,0.18573235246873698,606,
evenness_D1_D0,m_soil_test_vshare,0.06674981416852932,0.4359975769061255,606,
evenness_D1_D0,m_custom_hire_vshare,-0.003386902974533479,0.9577948192913913,606,
share_cereals,m_fert_shop_vshare,-0.24094552907719705,0.023615897990914583,606,0.10977841808077926
share_cereals,m_seed_centre_vshare,-0.03528881633333668,0.7988623721927877,606,0.7988623721927877
share_cereals,m_soil_test_vshare,0.221363501155725,0.1484690403323581,606,0.4367247870447394
share_cereals,m_custom_hire_vshare,0.02275759400293742,0.8595431054775013,606,0.8595431054775013
share_drugs_and_narcotics,m_fert_shop_vshare,0.007657173277854221,0.3784101982700204,606,0.42045577585557825
share_drugs_and_narcotics,m_seed_centre_vshare,0.003909501836731151,0.779684969124807,606,0.7988623721927877
share_drugs_and_narcotics,m_soil_test_vshare,0.02803970603003664,0.3658456251569808,606,0.5820313954852546
share_drugs_and_narcotics,m_custom_hire_vshare,-0.016906719458871386,0.2594658927104111,606,0.4324431545173518
share_fiber_crops,m_fert_shop_vshare,0.128710478766215,0.03293352542423378,606,0.10977841808077926
share_fiber_crops,m_seed_centre_vshare,-0.15213542080959444,0.05712386824003582,606,0.29688273182777764
share_fiber_crops,m_soil_test_vshare,0.06975481739475858,0.5011743028028421,606,0.6264678785035527
share_fiber_crops,m_custom_hire_vshare,0.11828483823930741,0.1563605625548486,606,0.39090140638712145
share_fodder,m_fert_shop_vshare,-0.006408013547463499,0.5150490790556845,606,0.5150490790556845
share_fodder,m_seed_centre_vshare,-0.008828375551916602,0.6851914561640817,606,0.7988623721927877
share_fodder,m_soil_test_vshare,0.005356859956138374,0.7757991392129384,606,0.7757991392129384
share_fodder,m_custom_hire_vshare,-0.018782387922971502,0.20125548383532443,606,0.40251096767064887
share_fruits,m_fert_shop_vshare,0.011799015261063306,0.3769783776689558,606,0.42045577585557825
share_fruits,m_seed_centre_vshare,0.026727182541702053,0.35132263834834576,606,0.7905673721831843
share_fruits,m_soil_test_vshare,-0.04106160095879518,0.17468991481789575,606,0.4367247870447394
share_fruits,m_custom_hire_vshare,0.03415035262290732,0.079855536367673,606,0.2946560835422655
share_oilseeds,m_fert_shop_vshare,0.1210461151398407,0.17466763970343246,606,0.29111273283905414
share_oilseeds,m_seed_centre_vshare,0.11730593572111542,0.47434042330991055,606,0.7905673721831843
share_oilseeds,m_soil_test_vshare,-0.18854384895550522,0.2330683351736197,606,0.4661366703472394
share_oilseeds,m_custom_hire_vshare,-0.06821197120766441,0.5683347983943264,606,0.6314831093270293
share_pulses,m_fert_shop_vshare,-0.18958133479401482,3.9730074887976504e-05,606,0.000397300748879765
share_pulses,m_seed_centre_vshare,0.052216102565001934,0.40338742178014697,606,0.7905673721831843
share_pulses,m_soil_test_vshare,-0.05296165176604223,0.4074219768396782,606,0.5820313954852546
share_pulses,m_custom_hire_vshare,0.029019062978653407,0.5606125069707164,606,0.6314831093270293
share_spices,m_fert_shop_vshare,0.07379301837570396,0.1293214194593716,606,0.2586428389187432
share_spices,m_seed_centre_vshare,-0.1500400149339341,0.15483097999155596,606,0.5161032666385199
share_spices,m_soil_test_vshare,0.03309074636710088,0.7173941504269862,606,0.7757991392129384
share_spices,m_custom_hire_vshare,0.046613735773747486,0.4642396414776183,606,0.6314831093270293
share_sugar,m_fert_shop_vshare,0.06144001204943363,0.0624266981168311,606,0.15606674529207776
share_sugar,m_seed_centre_vshare,0.13117651094055574,0.059376546365555526,606,0.29688273182777764
share_sugar,m_soil_test_vshare,-0.15413514239320583,0.03424163895880791,606,0.3383358371012567
share_sugar,m_custom_hire_vshare,-0.09464621707405711,0.08839682506267965,606,0.2946560835422655
share_vegetable,m_fert_shop_vshare,0.032489064548564456,0.2120320408283306,606,0.30290291546904374
share_vegetable,m_seed_centre_vshare,0.014957394023688952,0.6437363391697231,606,0.7988623721927877
share_vegetable,m_soil_test_vshare,0.07909661316977949,0.06766716742025135,606,0.3383358371012567
share_vegetable,m_custom_hire_vshare,-0.052278287953988714,0.04283689900786591,606,0.2946560835422655
